11.6686913102
         52052 function calls (50051 primitive calls) in 2.817 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      100    0.007    0.000    0.009    0.000 linalg.py:214(_assertFinite)
      127    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:604(_open_registry)
      131    0.001    0.000    0.008    0.000 <frozen importlib._bootstrap>:493(_init_module_attrs)
      254    0.008    0.000    0.008    0.000 {built-in method winreg.OpenKey}
      112    0.007    0.000    0.007    0.000 {method 'read' of '_io.FileIO' objects}
     1338    0.002    0.000    0.007    0.000 <frozen importlib._bootstrap_external>:57(_path_join)
       15    0.000    0.000    0.005    0.000 sre_compile.py:542(_code)
      224    0.002    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:263(cache_from_source)
      112    0.005    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:430(_validate_bytecode_header)
      234    0.000    0.000    0.005    0.000 <frozen importlib._bootstrap>:389(cached)
    63/15    0.001    0.000    0.005    0.000 sre_compile.py:64(_compile)
      122    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap_external>:361(_get_cached)
        5    0.000    0.000    0.004    0.001 __init__.py:356(namedtuple)
      301    0.004    0.000    0.004    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     1338    0.002    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:59(<listcomp>)
       15    0.000    0.000    0.003    0.000 sre_parse.py:845(parse)
        1    0.000    0.000    0.003    0.003 string.py:15(<module>)
      141    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:146(__enter__)
      122    0.001    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1228(_get_spec)
      200    0.000    0.000    0.003    0.000 {method 'all' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.003    0.003 string.py:65(__init__)
       28    0.000    0.000    0.003    0.000 sre_compile.py:223(_compile_charset)
      200    0.000    0.000    0.003    0.000 _methods.py:40(_all)
    28/15    0.000    0.000    0.003    0.000 sre_parse.py:407(_parse_sub)
       28    0.002    0.000    0.003    0.000 sre_compile.py:250(_optimize_charset)
      100    0.001    0.000    0.003    0.000 fromnumeric.py:1987(all)
    32/15    0.001    0.000    0.003    0.000 sre_parse.py:469(_parse)
        1    0.000    0.000    0.002    0.002 core.py:21(<module>)
